Name,Mailing Street,City,State,Mailing Zip/Postal Code,"Number of Coats Needed"
Tiny Tots Childcare Center,403 w pecan ave,Fort Gibson,Oklahoma,74434,40
OCCHD Health at School,6728 S. Hudson,Oklahoma City,Oklahoma,73139,30
Bloom Clinic,40 Finchgate Blvd Unit 224,Brampton,Ontario,L6T3J1,25
Dorset Drive Public School,"100 Dorset Dr, Brampton, ON L6T 2Y9 Canada",Brampton,Ontario,L6T 2Y9,100
Lincoln Park Elementary,13200 SE Lincoln St,Portland,Oregon,97233,600
Fairview SUN After school Program (Metropolitan Family Service),225 Main St,Fairview,Oregon,97024,100
Faubion PK-8 School,2930 NE Dekum Street,Portland,Oregon,97211,96
Monika's House-Domestic Violence Shelter,735 SW 158th Ave Suite 100,Beaverton,Oregon,97006,20
North Clackamas Schools Family Support Center,6031 SE King Road,Milwaukie,Oregon,97222,75
De La Salle North Catholic High School,7528 N. Fenwick Avenue,Portland,Oregon,97217,50
Alliance at Benson,Reconnection Center C/O Benson High School 546 NE 12th Ave,Portland,Oregon,97232,20
M.Scott,14700 NE Sacramento ST.,Portland,Oregon,97230,100
First Start Partnership,431 Philadelphia Avenue,Chambersburg,Pennsylvania,17201,300
Holiness Mennonite Missionary Church,3407 N 2nd St,Philadelphia,Pennsylvania,19140,36
"First Church of Love, Faith & Deliverance",3101 Ridge Ave # 25,Philadelphia,Pennsylvania,19121-1119,150
Capital Area Head Start,3705 Elmwood Drive,Harrisburg,Pennsylvania,17110,100
Elwyn SEEDS Lehigh,2001 w Lehigh ave,Philadelphia,Pennsylvania,19132,70
Roosevelt Elementary School/Philadelphia School District,430 E Washington Lane,Philadelphia,Pennsylvania,19144,500
Lindley Academy Charter School,900 Lindley Ave,Philadelphia,Pennsylvania,19141,50
Pittsburgh Manchester PreK-8,1612 Manhattan St,Pittsburgh,Pennsylvania,15233,210
Westmoreland Community Action,226 S Maple Ave,Greensburg,Pennsylvania,15601,200
Tri County Community Action,1514 Derry st,Harrisburg,Pennsylvania,17104,180
Pentecostal Experience of True Word Ministries- PE Cares Program,4130 Cottman Ave,Philadelphia,Pennsylvania,19135,120
Armstrong County Community Action Agency,705 Butler Road,Kittanning,Pennsylvania,16201,150
"In honor of juvenile activist""TA Williams""",2433 20th St.,Philadelphia,Pennsylvania,19132,100
Tea Talk Power,114 E Parkway Ave,Chester,Pennsylvania,19013,36
"Community Empowerment Association, Inc.",7120 Kelly Street,Pittsburgh,Pennsylvania,15208,550
Norris Square Childrens Center,2011 N Mascher St.,Philadelphia,Pennsylvania,19122-1713,60
Caring People Alliance,3512 Haverford Avenue,Philadelphia,Pennsylvania,19104,140
Holy Family Institute,8235 Ohio River Blvd,Pittsburgh,Pennsylvania,15202,150
New Beginnings in Christ Deliverance Ministries,5433 Baltimore Ave,Philadelphia,Pennsylvania,19143,50
Acts of Kindness,2042 west Jefferson street,Yeadon,Pennsylvania,19050,300
Woodlyn Elementary School,1200 Colson Road,Woodlyn,Pennsylvania,19060,200
Mastery Charter Schools - East Camden Middle School,1201 W. Rush Street,Philadelphia,Pennsylvania,19133,100
Colwyn Borough,221 Spruce St.,Colwyn,Pennsylvania,19023,200
Education for Children and Youth Experiencing Homelessness: Berks County Intermediate Unit,1111 Commons Blvd,Reading,Pennsylvania,19605,50
William Cramp Elementary School,3449 N Mascher St,Philadelphia,Pennsylvania,19140,500
St. James School,3217 W. Clearfield St,Philadelphia,Pennsylvania,19132,50
"Maranatha Outreach Ministries, Inc.",614 S 8th Street Suite 259,Philadelphia,Pennsylvania,19147,350
Olivet Boys & Girls Club,1161 Pershing Blvd,Reading,Pennsylvania,19611,450
Philadephia FIGHT Community Health Center,1207 Chestnut St 2nd floor,Philadelphia,Pennsylvania,19107,150
Emmanuel Baptist Church,245 3rd Ave,Rankin,Pennsylvania,15104,300
Zion Lutheran Church & Childcare,5307 North Front Street Philadelphia Pa 19120,PHILADELPHIA,Pennsylvania,19120,125
Juvenile Justice Center of Philadelphia,100 W Coulter Street,Philadelphia,Pennsylvania,19144,400
Together As Adoptive Parents,Friends Center 1501 Cherry St C/O Phyllis Stevens (TAP),Philadelphia,Pennsylvania,19102,100
"God's Petals of Destiny, Inc.",541 Littlecroft Road,Upper Darby,Pennsylvania,19082,50
The Women's Circle,509 Florence Drive,Chester,Pennsylvania,19013,75
Restoration Deliverance Life Center,2012 Sandstone Terrace,Phoenixville,Pennsylvania,19460,100
AIU 3 HeadStart,7300 Ridgeview,Pittsburgh,Pennsylvania,15235,56
Lebanon School District,1000 South Eighth Street,Lebanon,Pennsylvania,17042,50
Mercy Center for Women,1039 East 27th Street,Erie,Pennsylvania,16504,15
The Salvation Army - Chester Corps,60 E Maiden St,Washington,Pennsylvania,15301,650
Manchester Academic Charter School,1214 Liverpool ST,Pittsburgh,Pennsylvania,15233,25
Laurie's Love,435 Ella st,Pittsburgh,Pennsylvania,15221,40
Edward T. Steel Elementary School,4301 Wayne Avenue,Philadelphia,Pennsylvania,19140,300
Alpha Genesis,1509 Church Lane Phila. Pa 19141,Philadelphia,Pennsylvania,19104,100
www.kampforkids.org,709 Fairview ave,feasterville,Pennsylvania,19053,100
Eliza B. Kirkbride,1501 S. 7th Street,Philadelphia,Pennsylvania,19147,40
Mariana Bracetti Academy Charter School,1840 Torresdale Ave,Philadelphia,Pennsylvania,19124,50
Harrisburg School District,1601 State Street,Harrisburg,Pennsylvania,17102,100
KenCrest - Philly,7200 Rising Sun Avenue,Philadelphia,Pennsylvania,19111,5
Adams County Head Start,705 Old Harrisburg Rd Suite #5,Gettysburg,Pennsylvania,17325,100
Cancer Being Defeated Non- Profit,1912 south Alden Street,Philadelphia,Pennsylvania,19143,200
Propel McKeesport,2412 Versailles Avenue,McKeesport,Pennsylvania,15132,180
Southern Middle School,Southern middle school 931 Chestnut St,Reading,Pennsylvania,19602,100
Northeast Middle School,1216 North 13th St.,Reading,Pennsylvania,19604,100
Interfaith Friends,57 E. Tioga Street p.o.535,Tunkhannock,Pennsylvania,18657,50
Carmichaels Area School District,225 North Vine Street,Carmichaels,Pennsylvania,15320,75
22nd Police District Advisory Council,1747 N 17th street,Philadelphia,Pennsylvania,19121,200
HELP Independence,4910 WYALUSING AVE,PHILADELPHIA,Pennsylvania,19131,75
Its A Small World Day Care Inc,1500 n Peach St,Philadelphia,Pennsylvania,19131,60
Jefferson Morgan School District,1363 Jefferson Road PO Box206,Jefferson,Pennsylvania,15344,60
"Salvation Army of Lancaster, PA",131 South Queen Street,Lancaster,Pennsylvania,17603,200
Second Baptist Church,6055 Swamp Road,Fountainville,Pennsylvania,18923,250
Reeceville Elementary School,248 Reeceville Road,Coatesville,Pennsylvania,19320,30
World Vision International,"We are able to handle shipping costs, so please call first!",Sewickley,Pennsylvania,15143,2300
Creative Learning Environments,4824 Princeton Ave,Philadelphia,Pennsylvania,19135,160
Bristol Township School District,6401 Mill Creek Road,Levittown,Pennsylvania,19057,200
Ringgold Elem School North,3685 Finleyville Elrama Rd,Finleyville,Pennsylvania,15332,15
Spring Ridge Elementary School,1211 Broadcasting Road,Wyomissing,Pennsylvania,19610,12
Kirkbride Elementary school,1501 s 7th street,Philadelphia,Pennsylvania,19147,50
Widener Partnership Charter School,1450 Edgmont Ave,Chester,Pennsylvania,19013,450
Upper Darby Kindergarten Center,Upper Darby Kindergarten Center 3200 State road,Drexel Hill,Pennsylvania,19026,150
Thomas Jefferson Elementary School,404 E. North St,Bethlehem,Pennsylvania,18018,50
Propel East,1611 MONROEVILLE AVE,Pittsburgh,Pennsylvania,15145-1652,400
Community Development Institute Head Start Program,2531 South 70th Street,Philadelphia,Pennsylvania,19142,68
Caring People Alliance,1701 N 8th Street,Philadelphia,Pennsylvania,19122,180
Greater Impact Worship Center,2431 North 6th Street,Philadelphia,Pennsylvania,19133,50
Rankin Christian Center,230 3rd Street,Rankin,Pennsylvania,15104,107
"Ray of Hope Project, Inc.","215 AppletreeDrive,",Levittown,Pennsylvania,19055,400
Your Child's World Learning Center Inc.,6595A Roosevelt Blvd,Philadelphia,Pennsylvania,19149,100
Khadija Bowens Foundation,1039 Tabor Rd Apt B,Philadelphia,Pennsylvania,19141,50
Wesley Family Services SBBH Clairton,501 Waddell Ave,Clairton,Pennsylvania,15025,35
Mastbaum High School,3116 Frankford Ave,Philadelphia,Pennsylvania,19134,300
Philadelphia For Haiti,5123 N. 11th Street,Philadelphia,Pennsylvania,19141,100
St. James United Methodist Church,199 E Tabor Road,Philadelphia,Pennsylvania,19120,150
Alternative Resource Network,309 N Sumneytown Pike,Philadelphia,Pennsylvania,19454,50
It Takes a Village,1013 taylors place,Chester,Pennsylvania,19013,80
Women of Transformation,1124 S Wilton Street 4303 Westminister Avenue,Philadelphia,Pennsylvania,19143,300
John P. Scott Elementary School,1900 Derry St.,Harrisburg,Pennsylvania,17104,24
Sarah A. Reed Children's Center,2445 W. 34th St.,Erie,Pennsylvania,16506,50
Southwestern Presbyterian Church Head Start,2431 Corlies St.,Philadelphia,Pennsylvania,19142,20
coats and cocoa,934 bentley crt,chalfont,Pennsylvania,18914,30
Communities in Schools of Pennsylvania,350 N. 8th Street,Lebanon,Pennsylvania,17043,100
Eternal Life Christian Center,219 Steeplechase Drive,North Wales,Pennsylvania,19454,500
Rich Youth Worship Center,1973 south hall st,Allentown,Pennsylvania,18103,59
Garden of Prayer Church of God in Christ,"918 East Allens Lane Philadelphia, PA 19150 555 West Annsbury Street, Philadelphia, PA 19140",Philadelphia,Pennsylvania,19150,125
Wesley Family Services SBBH Clairton,501 waddell ave room 205,Clairton,Pennsylvania,15025,23
Safe Haven,2433 n 20th st,Philadelphia,Pennsylvania,19132,300
Bustleton Learning Center,6600 Bustleton Avenue,Philadelphia,Pennsylvania,19149,75
Smile24/7,6828 North 15th Street 1st floor,Philadelphia,Pennsylvania,19126,400
JEVS Human Services,"1845 Walnut Street, 7th floor",Philadelphia,Pennsylvania,19103,300
Young Educated living liberated,601 Upland Ave. Suite 212,Brookhaven,Pennsylvania,19013,50
Angels Scents & Home Decor,20 W 4th St,Lewistown,Pennsylvania,17044,100
Aclero Learning,3149 Germantown ave,PHILADELPHIA,Pennsylvania,19121,65
Bedford/Fulton Head Start-Bedford Early Head Start,231 S Juliana Street,Bedford,Pennsylvania,15522,50
The REFUGE Hub,15 Andrew Lane,Lansdale,Pennsylvania,19446,200
CDI Head Start,5843 Spruce Street,Philadelphia,Pennsylvania,19139,100
McIlvain Rec Center After School Program,1010 Arrott St,Philadelphia,Pennsylvania,19124,150
New Beginning Foundation Inc,7411 Georgian rd,Philadelphia,Pennsylvania,19138,120
Delcroft School,Delcroft School 799 School Lane,Folcroft,Pennsylvania,19032,50
PathStone Carbon County Head Start,110 N 3Rd Street,Lehighton,Pennsylvania,18235,300
Phila. Mental Health Care Copr.,1601 Market Street 5th floor,Philadelphia,Pennsylvania,19103,12
Blessed hearts,979 grant rd,Folcroft,Pennsylvania,19032,24
"Delta Sigma Theta Sorority, Inc. Valley Forge Alumnae Chapter",7761 Clements Road,"Wyncote",Pennsylvania,19095,100
Brightside Academy,1819 E. Allegheny Ave. 1819 E. Allegheny Ave.,Philadelphia,Pennsylvania,19134,74
Girk Scouts 51686,4410 whitney ave,Marcus Hook,Pennsylvania,19061,20
St. Francis Inn,St. Francis Inn/ Marie's Closet 2441 Kensington Avenue,Philadelphia,Pennsylvania,19125,1000
Norris Square Community Alliance,174 W Diamond Street,Philadelphia,Pennsylvania,19122,30
Childrens Development Center LLC,4236 Whitaker Ave,Philadelphia,Pennsylvania,19142,80
CDI Head Start,2147 Manton Street,Philadelphia,Pennsylvania,19146,49
Cumberland/Perry MH/IDD CASSP,Cumberland/Perry MH.IDD CASSP 1615 Ritner Highway,Carlisle,Pennsylvania,17013,50
PRAYER OF FAITH MINISTRY,2216 WILNER DRIVE,Pittsburgh,Pennsylvania,15221,25
"HOUSE OF W.I.N., INC",White Hall Housing Project 1824 Folkrod St,Philadelphia,Pennsylvania,19124,500
Allegheny Intermediate Unit,3203 Maryland Ave,North Versailles,Pennsylvania,15137,35
Acelero Learning Head Start,949 marshall st,Philadelphia,Pennsylvania,19123,90
Black Student Union (Penn State Harrisburg),10D Nittany Village B Olmsted,Middletown,Pennsylvania,17057,120
Park Lane Elementary School,Aldan Elementary School 1 North Woodlawn Ave,Aldan,Pennsylvania,19018,204
Urban Academy of Pittsburgh Charter School,437 Turrett Street,Pittsburgh,Pennsylvania,15206,330
Youth Empowerment Summit,1200 Powell Street,Norristown,Pennsylvania,19401,500
COMMUNITY PROGRESS COUNCIL,226 EAST COLLEGE AVENUE,YORK,Pennsylvania,17403,60
A.C.E. Ministries Inc,3520 Duquesne,West Mifflin,Pennsylvania,15122,60
Carmichaels Area Elementary Center,215 North Vine Street,Carmichaels,Pennsylvania,15320,150
King PreK-8,50 Montgomery Place,Pittsburgh,Pennsylvania,15212,70
Children's Playhouse Early Learning Center,2501 S. Marshall St,Philadelphia,Pennsylvania,19148,200
The Family Life Project,101 E. Baltimore Ave Unit 1338,Media,Pennsylvania,19063,30
Childrens Christmas Party,1533 Third Ave,York,Pennsylvania,17403,144
United Gospel Minstry & Church ( The Lahore City School,House #233 Block 5 Sector C 2 twon ship,Lahore,Punjab,54000,150
Pawtucket Public Schools,60 South Bend Street Agnes E. Little Elementary School,Pawtucket,Rhode Island,02860,40
Henry J. Winters Elementary School,723 Central Ave.,Pawtucket,Rhode Island,02861,50
Curvin McCabe School,466 Cottage Street,Pawtucket,Rhode Island,02861,25
Fallon Memorial Elementary School,Fallon Memorial School,Pawtucket,Rhode Island,02861,50
Carl G. Lauro,99 Kenyon Street,Providence,Rhode Island,02903,200
Clearwater Elementary,4552 Augusta Road,Beech Island,South Carolina,29842,50
Greenwood Elementary,2300 E Howe Springs Rd,Florence,South Carolina,29506,50
Joseph S. Shanklin Elementary,121 Morrall Drive,Beaufort,South Carolina,29906,75
Spartanburg Soup Kitchen,136 S Forest St,Spartanburg,South Carolina,29306,50
Pate Elementary School,1010 Indian branch road,darlington,South Carolina,29550,20
One Nurse At A Time,350 South Oak Street PO Box 499,St. Francis,South Dakota,57572,100
Shwab Elementary School/ Communities In Schools,1500 Dickerson Pike,Nashville,Tennessee,37207,320
City University School of Liberal Arts,1475 E. Shelby Dr. 2002 North Dianne Circle,Memphis,Tennessee,38116,150
Chimneyrock Elementary School,8601 Chimneyrock Blvd,Cordova,Tennessee,38016,500
"Somebody Loves Me, Inc.",158 Heritage Drive,Rogersville,Tennessee,37664,100
Norman Binkley Elementary School,4700 W Longdale Dr.,Nashville,Tennessee,37203,40
Compass Community Schools Orange Mound,2718 Lamar Ave,Memphis,Tennessee,38114,30
Kate Bond Elementary,2678 Morning Mist Lane,Memphis,Tennessee,38133,50
Memphis College Prep,1500 Dunn Ave Memphis College Prep,Memphis,Tennessee,38106,30
Village behavior as l health,996 FIPPS LN,GREENBACK,Tennessee,37742,50
Mu Sigma Sigma Rhoer Club,4186 HAMPTON MANOR LN,MEMPHIS,Tennessee,38128,100
KIPP Memphis Preparatory Elementary,2230 Corry Road,Memphis,Tennessee,38106,400
WoodStock Middle School,5885 Woodstock-Cuba RD,Millington,Tennessee,38053,50
Compass Community Schools Orange Mound,3880 Forrest Ave,Memphis,Tennessee,38122,30
America Works of TN,22 N. Front Street,Memphis,Tennessee,38103,30
On Time Grad Academy,1102 Telephone Rd.,Houston,Texas,77023,25
Green Valley Elementary,13500 Woodforest Blvd.,Houston,Texas,77015,725
Franklin Elementary,7101 Canal St,Houston,Texas,77011,250
Farias ECC,515 E Rittenhouse st,Houston,Texas,77076,430
Roland P Harris Elementary,7142 Mae Dr.,Houston,Texas,77015,625
Project Hope Houston,8448 Park Pl Blvd,Houston,Texas,77017,40
"Navarro Elementary School, Bryan ISD",4619 Northwood Drive,Bryan,Texas,77803,300
Bellfort Early Childhood Center,400 Boyles St,Houston,Texas,77021,150
Trinity Basin Preparatory,2524 W. Ledbetter Drive,Dallas,Texas,75233,600
Divine Grace Medical Missionaries,11000 Fondren Rd # C-3,Houston,Texas,77096,300
Judson Robinson Elementary,12425 WOOD FOREST DR,Houston,Texas,77013,300
Candace Way Out Foundation,7329 Yoe St,HOUSTON,Texas,77016,300
Galena Park Childcare Center-North,14310 Duncannon Dr c/o Galena Park ISD Childcare Center Nort,Houston,Texas,77015,25
Bruce Elementary School Houston TX,"510 Jensen Dr,",Houston,Texas,77020,120
Garfield Elementary PISD,10401 Hartsook St.,Houston,Texas,77034,650
Dallas ISD; Frederick Douglass Elementary,226 N. Jim Miller,Dallas,Texas,75217,550
TSU Alumni Association,9390 Riggs,Beaumont,Texas,77707,500
Calvert HS FCA,310 Hickory St.,Calvert,Texas,77837,100
W. H. Gaston Middle School,9565 Mercer Dr.,Dallas,Texas,75228,100
Southwest Schools,8440 Bissonnet,Houston,Texas,77074,50
Forman Elementary,3600 Timberline Dr.,Plano,Texas,75074,25
Texas Department of Family and Protective Services,2130 Alpine Road,Longview,Texas,75601,10
Highland Meadows Elementary/HeadStart,8939 Whitewing,Dallas,Texas,75238,60
PL Prep at Sam Houston Elementary,2827 throckmorton st.,Dallas,Texas,75219,100
Dallas South Women's Association,9806 Brierhill Dr,Dallas,Texas,75217,250
Uplift Meridian Preparatory,1801 South Beach Street,Fort Worth,Texas,76105,25
Newcomer Center,600 SE Green Oaks Boulevard,Arlington,Texas,76018,215
Whittier Elementary,10511 S La Crosse St.,Houston,Texas,77029,175
Trinity Basin Preparatory - Jefferson,855 E. 8th Street,Dallas,Texas,75203,50
Thurgood Marshall Elementary School,6200 Winfield Rd,Houston,Texas,77050,978
Looscan Elementary,3800 Robertson St,Houston,Texas,77009,340
Pierce Early Childhood School,901 N. Britain Rd,Coppell,Texas,75019,50
Macario Garcia Elementary School,9550 Aldine Westfield Rd,Houston,Texas,77093,75
Lamar Fleming Middle School,4910 collingsworth,Houston,Texas,77026,500
Spring Leadership Academy,14450 T. C. Jester Blvd.,Houston,Texas,77014,20
Tijerina Elementary,6501 Sherman St,Houston,Texas,77011,100
Sherman Elementary,1909 McKee Street,Houston,Texas,77009,650
Metz Elementary,84 Robert T. Martinez Jr.,Austin,Texas,78702,50
Houston Independent School District,1600 Gellhorn Dr,Houston,Texas,77029,100
ECISD Community Outreach Center,301 E Clement,Odessa,Texas,79761,100
Andrews Elementary School,6801 Northeast Drive,Austin,Texas,78723,20
Belton Central Early Head Start,504 N. 5th Street,Temple,Texas,76501,33
Houston ISD,13719 White Heather,Missouri City,Texas,77045,100
Sheffield Elementary,18111 Kelly Blvd.,Dallas,Texas,75287,600
Jack Yates High School,3650 Alabama,Houston,Texas,77004,20
Piney Point Elementary,8921 Pagewood Lane,Houston,Texas,77063,200
LP Waters Early Childhood Learning Center,2504 Carver St.,Greenville,Texas,75402,50
Isaacs Elementary,3830 Pickfair,Houston,Texas,77026,300
Family service Head start,570 Pinn Rd.,San Antonio,Texas,78227,30
A.W.Brown Leadership Academy,5701 Red Bird Center Drive,Dallas,Texas,75237,50
Our Kids,11717 Beamer Rd #216,Houston,Texas,77089,50
South Elementary School,2000 S. 8th PO Box 261,Lamesa,Texas,79331,120
HISD ELIOT ELEMENTARY,6411 Laredo St,Houston,Texas,77020,500
Ministerio Evangelico Casa De Dios,P.O Box 18446,Austin,Texas,78760,200
Durkee Elementary,7301 nordling rd,houston,Texas,77076,580
Nathaniel Hawthorne Elementary,7800 umphress road,Dallas,Texas,75217,50
Saving Grace Women?s Home,2535 Galveston rd,Houston,Texas,77017,60
Tinsley Elementary,11035 Bob White Dr.,Houston,Texas,77096,720
Con Mi MADRE- El Paso,900 S. Cotton St.,El Paso,Texas,79901,50
Montgomery Elementary School,4000 simsbrook drive,houston,Texas,77045,50
Eastern Hills Elementary School,5917 Shelton,Fort Worth,Texas,76112,100
Bikes for Excellence Foundation,Ralf Marx (Martha P. Jaimes) 401 Tuam,Houston,Texas,77023,200
Communities In Schools of Greater Tarrant County,5601 Bridge St. Ste. 501,Fort Worth,Texas,76112,100
THIN BLUE LINE HUB CITY LEMC,802 Long Prairie Dr.,Katy,Texas,77450,300
St. Anthony Academy,3732 Myrtle Street,Dallas,Texas,75215,325
Clothed By Faith,438 East 8th Street,Deer Park,Texas,77536,115
Emerson Elementary School,2800 moss avenue,midland,Texas,79705,30
BENAVIDEZ ELEMENTARY,6262 GULFTON ST,HOUSTON,Texas,77081,100
Portfolio Resident Services,226 Atwood Ct 2627,Weatherford,Texas,76086,50
"Community Partners of Tarrant County, Inc.",2700 Ben Ave,Fort Worth,Texas,76103,100
Lewis Elementary,6745 Tipperary Ln,Houston,Texas,77061,30
Joe E Moreno,620 E Canino Rd,Houston,Texas,77037,40
"CIS - Communities In Schools of Houston, Inc.","3602 Hollister Road 1235 North Loop West, Suite 300 Houston Texas 77008",Houston,Texas,77080,100
Lockhart Elementary,3200 Rosedale Street,Houston,Texas,77004,50
Anderson Elementary School,1101 Timberlake Dr.,Arlington,Texas,76010,516
HISD- Rucker Elementary School,5201 Vinett St,Houston,Texas,77017,60
CHILD SUPPORT SPECIALISTS,P.O. Box 593469,SAN ANTONIO,Texas,78259,50
Communities In Schools Houston @ Young Elementary,3555 Bellfort St,Houston,Texas,77051,450
Harmony School of Endeavor Houston,5668 W Little York Rd,Houston,Texas,77095,200
Raul Martinez Elementary,7211 Market St,Houston,Texas,77020,524
Cunningham Elementary School,5100 Gulfton St.,Houston,Texas,77081,200
Infinite Hands Initiative (IHI),12726 Saranac Dr.,Houston,Texas,77089,75
Kindred Elementary,7811 Kindred St,San Antonio,Texas,78211,30
Uplift Pinnacle,2510 S Vernon Ave,Dallas,Texas,75232,600
Bullock Chapel CME Church c/o We Care-We Share,2621 Grasmere St,Garland,Texas,75040,200
Paige Elementary,7501 Curry Rd,Houston,Texas,77093,462
Impact Church,2945 Frankford Rd,Dallas,Texas,75287,500
Montgomery Elementary School,4000 Simsbrook Dr.,Houston,Texas,77045,100
Jefferson Elementary School,5000 Sharman Street,Houston,Texas,77009,100
Woodson Elementary School,10720 Southview St.,Houston,Texas,77047,250
Wee Can Academy -GRANT EAST,2901 Morgan Dr,Dallas,Texas,75241,67
Pyburn Elementary,12302 Coulson St,Houston,Texas,77015,610
Ed. White Elementary,9001 Triola,Houston,Texas,77036,200
Wainwright Elementary,5330 Milwee St,Houston,Texas,77092,50
Keiron's Klosest,743 Granville Drive,Houston,Texas,77091,100
Fonwood ECC,9709 Mesa Drive,Houston,Texas,77078,554
Houston Independent School District,11911 Chimney Rock Road,Houston,Texas,77085,2310
Neff Elementary,8301 Neff Street,Houston,Texas,77036,250
Washington Elementary School,420 North 200 West,Salt Lake City,Utah,84103,100
Calvary Baptist Church UT,1090 State Street,Salt Lake City,Utah,84111,200
Little Wonders Learning Center South,3223 N Main St,Nibley,Utah,84321,20
Antelope Elementary,1810 S Main St.,Clearfield,Utah,84015,90
Little Wonders Learning Center North,240 E 1250 N,Logan,Utah,84321,20
West Kearns Elementary,4900 South 4620 West,Kearns,Utah,84118,100
Salt Lake City School District,750 west 200 north,Salt Lake City,Utah,84116,100
Backman Elementary,601 N 1500 W,Salt Lake City,Utah,84116,200
Franklin Elementary,1115 w 300 s,Salt Lake City,Utah,84104,100
Escalante Elementary,1810 West 900 North,Salt Lake City,Utah,84116,300
Liberty Elementary,1085 S Roberta St,Salt Lake City,Utah,84111,50
Bennion Elementary School,429 S. 800 E.,Salt Lake City,Utah,84102,100
Newman Elementary School,1269 N. Colorado St.,Salt Lake City,Utah,84116,280
Rose Park Elementary,1105 W. 1000 N.,Salt Lake City,Utah,84116,40
Mountain View Elementary,1380 South Navajo,Salt Lake City,Utah,84104,50
Leadership Learning Academy,1111 W 2nd Street,Ogden,Utah,84404,100
Venture Warriors,Po box 1031,Cedar city,Utah,84721,100
YWCA Utah,322 E. 300 S.,Salt Lake City,Utah,84111,300
Weber School District: Canyon View Special ED,1135 Orchard Avenue,Ogden,Utah,84404,20
Division of Child and Family Services,10008 S Creek Run Way,Sandy,Utah,84070,5
"Rotary Club of Woodstock, VA",468 N. Main Street,Woodstock,Virginia,22664,200
Communities in Schools at Barcroft Elementary Shcool,625 S Wakefield St,Arlington,Virginia,22204,100
Communities in Schools of NOVA,4101 Fairfax Pkwy Glasgow Middle School,Alexandria,Virginia,22312,35
HEALING HEARTS,7213 Jillspring CT,Springfield,Virginia,22152,70
Haileys Coat Drive,107 Robinson drive,Woodlawn,Virginia,24381,51
The Campagna Center,418 S. Washington St.,Alexandria,Virginia,22314,500
Mile High Kids Head Start Program,2712 Southern Blvd Suite 201,Virginia Beach,Virginia,23452,225
Communities in Schools of VA,965 Newtown Rd,Virginia Beach,Virginia,23462,50
"Communities In Schools - Petersburg, VA","Walnut Hill Elementary School, 300 W South Blvd",Petersburg,Virginia,23805,300
Healthy Minds Outreach Coalition,1250 East Washington Street,Petersburg,Virginia,23803,100
Scottsville Library,330 Bird Street,Scottsville,Virginia,24590,40
Hope City,3836 s puget sound ave,Tacoma,Washington,98409,20
EPIC - Enterprise for Progress in the Community,701 Superior Lane,Yakima,Washington,98902,100
Midway Elementary School,22447 24th Ave S,Des Moines,Washington,98198,200
Broadview-Thompson Head Start,2445 3rd Ave S MS 31-555 Head Start MS 31-555,Seattle,Washington,98124,150
East Valley School District,3303 N Pines,Spokane,Washington,99206,200
Communities in Schools of Renton WA,4640 S 144th St,Tukwila,Washington,98168,2000
Adams Elementary,723 South 8th Street,Yakima,Washington,98901,700
Hough Elementary School,1900 Daniels Street,Vancouver,Washington,98660,50
Sylvester Middle School,16222 Sylvester Road SW,Burien,Washington,98166,25
Quincy Cares,301 3rd Ave SW apt b9,Quincy,Washington,98848,250
EOCF,2215 Ne 104th St.,Vancouver,Washington,98686,34
Moses Lake Firefighters,701 E Third Ave,Moses Lake,Washington,98837,100
Nespelem Head Start Parent Committee,PO Box 473,Nespelem,Washington,99155,60
Naches EPIC,101 Shafer Ave,Naches,Washington,98937,60
Sun Valley Elementary,1220 N 16th Street,Sunnyside,Washington,98944,25
Dick Scobee Elementary,1825 K st Se,Auburn,Washington,980002,70
Gildo Rey Elementary School,1005 37th Street SE,Auburn,Washington,98002,100
Cascade View Elementary,13601 32nd Ave S,Tukwila,Washington,98168,500
Roosevelt Headstart,3550 E Roosevelt Ave,Tacoma,Washington,98404,20
Cedar Valley Elementary,19200 56 Ave W,Lynnwood,Washington,98036,250
Tukwila.S.D ECEAP,13601 32nd Ave S,Tukwila,Washington,98168,40
Dishman Hills High School,"115 S University, Suite A",Spokane Valley,Washington,99206,40
ESA/Alpha Kappa,1303 18th ave,Longview,Washington,98632,300
ECEAP Tacoma Public Schools,Boze Elementary School 1140 East 65th St,Tacoma,Washington,98404,38
Concerned Citizens,PO Box 506,Port Hadlock-Irondale,Washington,98339,50
Washington Kids in Transition,3204 ne 198th place,Lake Forest Park,Washington,98155,500
Snohomish County Head Start,8600 18th Ave. West,Everett,Washington,98204,80
Rebuilding Hope! Sexual Assault Center for Pierce County,101 E 26th Street Suite 200,Tacoma,Washington,98421,20
ECEAP - SVC,ECEAP CW 180 Parker Road,Oak Harbor,Washington,98239,20
Shinnston Co-op Parish Coats for Kids,160 Cross Over Way,Spelter,West Virginia,26438,170
Mountain Ridge Intermediate,2691 Gerrardstown Road,Gerrardstown,West Virginia,25420,20
Williamstown High School,219 W 5th St.,Williamstown,West Virginia,26187,50
World Vision Philippi,259 Chestnut Street,Philippi,West Virginia,26416,750
Dane County Human Services,1202 Northport Drive,Madison,Wisconsin,53704,100
Trinity Lutheran Church - LaCrosse,1010 Sill St,La Crosse,Wisconsin,54603,100
Adams County Sheriffs Dept. Coats for Kids,108 E North St,Friendship,Wisconsin,53934,50
Maple Tree School,6644 n107 6644n107,Milwaukee,Wisconsin,53208,30
